what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1278583871031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583871453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583925312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1278583947312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583951312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583960453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1278583960484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583960937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278583989218
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278583989390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278584001750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278584806781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1278584823859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1278584832390
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1278584861640
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1278584865875
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1278584868468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278584870343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278585047421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278585058203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1278585071109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1278585071140
